GPC;AttributeName;AttributeID;Description;Options;Required
10002448;Resistencia al agua;CL-A99900475;¿El producto cuenta con Resistencia al agua?;Si|No;true
10002448;Resistencia al tráfico;CL-A99900476;;Medio|Alto|Bajo;true
10002448;Aplicación;CL-A99900057;;Interior y exterior protegido|Todo tipo de maderas|Exterior|Interior;true
10002448;Procedencia;CL-A99900430;Seleccione de la lista;República Centroafricana|Austria|Islandia|Islas Cook|Palaos|Nepal|Kosovo|Bermudas|Tokelau|Senegal|Liechtenstein|Benín|Argelia|Papúa Nueva Guinea|Japón|Burundi|Colombia|Croacia|Turkmenistán|Togo|Azerbaiyán|Bolivia|Pakistán|Lituania|Taiwán|Suazilandia|Albania|Montserrat|Zambia|Moldavia|Alemania|Yemen|Brunéi|Noruega|Belice|Nigeria|Portugal|Dubai|Andorra|Liberia|Hong Kong|Guernsey|Haití|Jamaica|Guatemala|Abjasia|Samoa|Polonia|Kenia|Anguila|Malasia|Chipre|Afganistán|Somalia|Islas Marshall|Maldivas|Chipre del Norte|China|España|Birmania|República Democrática del Congo|Kuwait|Curazao|Santa Elena, Ascensión y Tristán de Acuña|Gibraltar|Catar|Islas Salomón|Panamá|Bulgaria|Omán|Eslovaquia|Cabo Verde|Islas Caimán|Polinesia Francesa|Dominica|Dinamarca|Nicaragua|Chad|Nagorno Karabaj|San Martín|Eslovenia|Irán|Islas Turcas y Caicos|Etiopía|Macedonia|Isla Norfolk|Samoa Americana|Micronesia|Honduras|Lesoto|Kirguistán|Singapur|Nauru|Corea del Sur|San Cristóbal y Nieves|Baréin|Canadá|Guinea-Bisáu|Kiribati|Francia|Níger|Vanuatu|Estados Unidos|Surinam|Aruba|Perú|Wallis y Futuna|Kazajistán|Israel|Sri Lanka|Islas Feroe|Corea del Norte|Isla de Man|Ucrania|Trinidad y Tobago|Seychelles|Uganda|Osetia del Sur|Reino Unido|Tayikistán|Timor Oriental|Bosnia y Herzegovina|Estonia|Guinea|Transnistria|Costa Rica|Camerún|Islas Marianas del Norte|India|Gambia|Namibia|Letonia|Jordania|Sudán del Sur|Isla de Navidad|Nueva Rusia|Somalilandia|Madagascar|Suecia|Filipinas|Suiza|Nueva Caledonia|San Bartolomé|Nueva Zelanda|Montenegro|Arabia Saudita|Hungría|México|Uruguay|Mozambique|Sierra Leona|Yibuti|Camboya|San Pedro y Miquelón|Países Bajos (Holanda)|Mauricio|Macao|Italia|Irak|Jersey|Fiyi|Túnez|Cuba|Siria|Bielorrusia|Burkina Faso|Guinea Ecuatorial|Zimbabue|Indonesia|Rumania|Serbia|Mónaco|Tonga|Svalbard|Malta|Georgia|Tuvalu|china|Groenlandia|República Dominicana|Acrotiri y Dhekelia|R.P.C|Mongolia|Ruanda|Santo Tomé y Príncipe|Bélgica|Sint Maarten|Armenia|Irlanda|Tanzania|Niue|Brasil|Eritrea|Australia|Laos|Egipto|Líbano|Grecia|Guyana|Botsuana|República Checa|Granada|Puerto Rico|Antigua y Barbuda|Barbados|Angola|Bahamas|Islas Pitcairn|Chile|San Vicente y las Granadinas|Santa Lucía|Venezuela|Uzbekistán|Mauritania|Ghana|República del Congo|Marruecos|Islas Cocos|Sahara Occidental|Malí|Emiratos Árabes Unidos|Rusia|Gabón|Islas Vírgenes de los Estados Unidos|Sudáfrica|Palestina|Turquía|Vietnam|Paraguay|El Salvador|Comoras|Libia|Islas Malvinas|Sudán|Bután|Malaui|Islas Vírgenes Británicas|Tailandia|Luxemburgo|Costa de Marfil|Ciudad del Vaticano|Finlandia|Argentina|Guam|San Marino|Ecuador|Bangladés;true
10002448;Tipo de instalación;A2665232;Indica si tu producto tipo de instalación;Autosoportante|Muro|Click patentado|Piso|Techo inclinado|Empotrado|Sobremesa|Colgante|Pegado|Sobrepuesto|Techo plano|Vertical|Techo|Bajo cubierta;true
10003926;Estilo;CL-A88800309;Seleccione de la lista;Contemporáneo|Industrial|Casual|Moderno|Sin estilo|Barroco|Infantil|Clásico|Básico|Natural;true
10003925;Estilo;CL-A88800309;Seleccione de la lista;Contemporáneo|Industrial|Casual|Moderno|Sin estilo|Barroco|Infantil|Clásico|Básico|Natural;true
10005733;Tipo de aislación;CL-A99900524;Seleccione de la lista;Acústica|Sin aislación|Acústica y térmica|Térmica;true
10005342;Tipo de aislación;CL-A99900524;Seleccione de la lista;Acústica|Sin aislación|Acústica y térmica|Térmica;false
10005343;Tipo de aislación;CL-A99900524;Seleccione de la lista;Acústica|Sin aislación|Acústica y térmica|Térmica;false
10002455;Tipo de aislación;CL-A99900524;Seleccione de la lista;Acústica|Sin aislación|Acústica y térmica|Térmica;true
10002537;Resistencia al tráfico;CL-A99900476;;Medio|Alto|Bajo;true
10005708;Superficie de aplicación;CL-A88800176;Seleccione de la lista;Granito|Hierro fundido|Cuero|Aluminio|Bronce|Fibra de vidrio|Plástico|Vidrio|Mármol|Yeso|Cobre|Porcelanato|Madera|Hormigón|Cerámica|Acero inoxidable|Piedra|Multiuso|Bimetal|Metal|Concreto;false
10003874;Antimoho;CA-10000107;¿El producto cuenta con Antimoho?;Si|No;true
10003874;Lavable;CL-A99900315;¿El producto es Lavable?;Si|No;true
10003874;Resistencia al agua;CL-A99900475;¿El producto cuenta con Resistencia al agua?;Si|No;true
10003874;Superficie de aplicación;CL-A88800176;Seleccione de la lista;Granito|Hierro fundido|Cuero|Aluminio|Bronce|Fibra de vidrio|Plástico|Vidrio|Mármol|Yeso|Cobre|Porcelanato|Madera|Hormigón|Cerámica|Acero inoxidable|Piedra|Multiuso|Bimetal|Metal|Concreto;true
10005655;Antimoho;CA-10000107;¿El producto cuenta con Antimoho?;Si|No;true
10005655;Antiadherente;CL-A99900050;¿El producto es Antiadherente?;Si|No;true
10002501;Superficie de aplicación;CL-A88800176;Seleccione de la lista;Granito|Hierro fundido|Cuero|Aluminio|Bronce|Fibra de vidrio|Plástico|Vidrio|Mármol|Yeso|Cobre|Porcelanato|Madera|Hormigón|Cerámica|Acero inoxidable|Piedra|Multiuso|Bimetal|Metal|Concreto;true
10005657;Resistencia al agua;CL-A99900475;¿El producto cuenta con Resistencia al agua?;Si|No;true
10002462;Resistencia al agua;CL-A99900475;¿El producto cuenta con Resistencia al agua?;Si|No;false
10002462;Superficie de aplicación;CL-A88800176;Seleccione de la lista;Granito|Hierro fundido|Cuero|Aluminio|Bronce|Fibra de vidrio|Plástico|Vidrio|Mármol|Yeso|Cobre|Porcelanato|Madera|Hormigón|Cerámica|Acero inoxidable|Piedra|Multiuso|Bimetal|Metal|Concreto;true
10005687;Superficie de aplicación;CL-A88800176;Seleccione de la lista;Granito|Hierro fundido|Cuero|Aluminio|Bronce|Fibra de vidrio|Plástico|Vidrio|Mármol|Yeso|Cobre|Porcelanato|Madera|Hormigón|Cerámica|Acero inoxidable|Piedra|Multiuso|Bimetal|Metal|Concreto;true
10002466;Resistencia al agua;CL-A99900475;¿El producto cuenta con Resistencia al agua?;Si|No;false
10002466;Superficie de aplicación;CL-A88800176;Seleccione de la lista;Granito|Hierro fundido|Cuero|Aluminio|Bronce|Fibra de vidrio|Plástico|Vidrio|Mármol|Yeso|Cobre|Porcelanato|Madera|Hormigón|Cerámica|Acero inoxidable|Piedra|Multiuso|Bimetal|Metal|Concreto;false
10003208;Antimoho;CA-10000107;¿El producto cuenta con Antimoho?;Si|No;false
10003208;Resistencia al agua;CL-A99900475;¿El producto cuenta con Resistencia al agua?;Si|No;false
10003208;Superficie de aplicación;CL-A88800176;Seleccione de la lista;Granito|Hierro fundido|Cuero|Aluminio|Bronce|Fibra de vidrio|Plástico|Vidrio|Mármol|Yeso|Cobre|Porcelanato|Madera|Hormigón|Cerámica|Acero inoxidable|Piedra|Multiuso|Bimetal|Metal|Concreto;true
10003205;Superficie de aplicación;CL-A88800176;Seleccione de la lista;Granito|Hierro fundido|Cuero|Aluminio|Bronce|Fibra de vidrio|Plástico|Vidrio|Mármol|Yeso|Cobre|Porcelanato|Madera|Hormigón|Cerámica|Acero inoxidable|Piedra|Multiuso|Bimetal|Metal|Concreto;true
10003207;Resistencia al agua;CL-A99900475;¿El producto cuenta con Resistencia al agua?;Si|No;true
10003207;Superficie de aplicación;CL-A88800176;Seleccione de la lista;Granito|Hierro fundido|Cuero|Aluminio|Bronce|Fibra de vidrio|Plástico|Vidrio|Mármol|Yeso|Cobre|Porcelanato|Madera|Hormigón|Cerámica|Acero inoxidable|Piedra|Multiuso|Bimetal|Metal|Concreto;true
10003203;Superficie de aplicación;CL-A88800176;Seleccione de la lista;Granito|Hierro fundido|Cuero|Aluminio|Bronce|Fibra de vidrio|Plástico|Vidrio|Mármol|Yeso|Cobre|Porcelanato|Madera|Hormigón|Cerámica|Acero inoxidable|Piedra|Multiuso|Bimetal|Metal|Concreto;false
10003203;Antimoho;CA-10000107;¿El producto cuenta con Antimoho?;Si|No;false
10003204;Aplicación;CL-A99900057;;Interior y exterior protegido|Todo tipo de maderas|Exterior|Interior;false
10003206;Resistencia al agua;CL-A99900475;¿El producto cuenta con Resistencia al agua?;Si|No;false
10006791;Forma;CL-A99900259;Seleccione de la lista;Plana|Esquinada|Estandar|Alveolar|Triangular|Poligonal|Semicírculo|U|Greca|Punta|Angular|Recto|Ovalada|Curva|Rectangular|Trompeta|Cilindro|Pirámide|H|Phillips|Redonda|Ondulada|5V|Barra con maneral|Cuadrada|Esfera|Estrella|Hexagonal|Lenteja|Momia|Otra|Gran Onda|Cabezal|Rollo|Acanalada|Simple|Cubo|Gorro|Liso;false
10002429;Limpieza;A3074122;;Limpiable con paño húmedo|Limpiable con plumero|Lavable con jabón;false
10002429;Colección;CL-A99900401;Seleccione de la lista;Disney|Bianco|Galia|Arezzo|Maranello|Pjmasks|Minions|Buscando a Dory|Urban|Milán|Amalfi|One Direction|Arona|Modena|HW|Batman|Almagro|La era del Hielo|Frozen|Siena|Tivoli|Animales|Verona|Gallina Pintadita|Looney Tunes|Turim|Niñas Mix|Barbie|Marvel|Sin colección|Inox|Inca|Princesas|Bob Esponja|Dessin|Mickey Minnie|TK|Ladybug|Peppa Pig|Sin Colección|Pooh|Hello Kitty|Aprender|Vittorio|Florencia|Spiderman|Keep Calm|Monster|Tvilium Blanco|Marsella|Duo|Backyardigans|Mariposas|Perugia|Soy Luna|Parma|Taff|Tvilium Oak|Mossini|Trebole|Canela|Texas|Pucon|Cars|Hanna Montana|Tramontina|Ravena|Kido|Era del Hielo;false
10002431;Medidas aproximadas;CA-10000445;;15X90 cm|45X45 cm|50X50 cm|20x120 cm|25X50 cm|Alto sobre 120 cm|45X90 cm|15X60 cm|20X30 cm|15X20 cm|40X40 cm|30X45 cm|18x35 cm|10X20 cm|30X90 cm|15X15 cm|50X20 cm|60x120 cm|100x100 cm|20x60 cm|25X40 cm|20X20 cm|30X60 cm|55X55 cm|80x80 cm|30X30 cm|60X60 cm|62x62 cm;false
10002431;Aplicación;CL-A99900057;;Interior y exterior protegido|Todo tipo de maderas|Exterior|Interior;true
10002431;Look;CA-10000446;;Lisas/Granilladas|Decoradas|Fachaletas|Cementicias/Rústicas|Maderadas|Marmoladas;true
10007039;Alimentación;CL-A99900017;Seleccione de la lista;Diesel|Gas natural|Leña|Gas|AC/DC|Gas licuado|Eléctrica|Batería|Carbón|Batería recargable|Alcohol|Pila|Batería de litio|Gasolina|Parafina|Pellet|Aceite|Energía solar;false
10005288;Protección UV;CL-A99900439;Indica si tu producto protección uv;Si|No;false
10005297;Tipo de rejilla;CA-10000293;Seleccione de la lista;Escalera doble|Fija|De flexión|Escalera|Lineal|Lama curva|Rectangular|Doble|Lama|TAE;false
10005296;Tipo de rejilla;CA-10000293;Seleccione de la lista;Escalera doble|Fija|De flexión|Escalera|Lineal|Lama curva|Rectangular|Doble|Lama|TAE;false
10005295;Tipo de rejilla;CA-10000293;Seleccione de la lista;Escalera doble|Fija|De flexión|Escalera|Lineal|Lama curva|Rectangular|Doble|Lama|TAE;false
10005287;Forma;CL-A99900259;Seleccione de la lista;Plana|Esquinada|Estandar|Alveolar|Triangular|Poligonal|Semicírculo|U|Greca|Punta|Angular|Recto|Ovalada|Curva|Rectangular|Trompeta|Cilindro|Pirámide|H|Phillips|Redonda|Ondulada|5V|Barra con maneral|Cuadrada|Esfera|Estrella|Hexagonal|Lenteja|Momia|Otra|Gran Onda|Cabezal|Rollo|Acanalada|Simple|Cubo|Gorro|Liso;true
10005287;Tipo de rejilla;CA-10000293;Seleccione de la lista;Escalera doble|Fija|De flexión|Escalera|Lineal|Lama curva|Rectangular|Doble|Lama|TAE;false
10005286;Tipo de rejilla;CA-10000293;Seleccione de la lista;Escalera doble|Fija|De flexión|Escalera|Lineal|Lama curva|Rectangular|Doble|Lama|TAE;true
10002542;Tipo de rejilla;CA-10000293;Seleccione de la lista;Escalera doble|Fija|De flexión|Escalera|Lineal|Lama curva|Rectangular|Doble|Lama|TAE;false
10005284;Forma;CL-A99900259;Seleccione de la lista;Plana|Esquinada|Estandar|Alveolar|Triangular|Poligonal|Semicírculo|U|Greca|Punta|Angular|Recto|Ovalada|Curva|Rectangular|Trompeta|Cilindro|Pirámide|H|Phillips|Redonda|Ondulada|5V|Barra con maneral|Cuadrada|Esfera|Estrella|Hexagonal|Lenteja|Momia|Otra|Gran Onda|Cabezal|Rollo|Acanalada|Simple|Cubo|Gorro|Liso;false
10005285;Sistema de apertura;CA-10000168;Seleccione de la lista;Abatible|Tope|Touch|Pivotante|Izquierda|Superior|Una hoja móvil y una fija|Izquierda y derecha|2 hojas móviles|Hoja|Guillotina|Manual|Proyectante|Derecha|Plegable|Con tapa|Fija|Celosía|Corrediza|Vaivén|Sin tapa|Oscilo batiente|Digital|Pedal;true
10005285;Aislador de sonido;A2689461;Indica si tu producto aislador de sonido;Si|No;false
10002092;Antiadherente;CL-A99900050;¿El producto es Antiadherente?;Si|No;false
10002091;Impermeable;CA-10000008;¿El producto es Impermeable?;Si|No;false
10002091;Cuenta con ruedas;CL-A99900481;Indica si tu producto cuenta con ruedas;Si|No;false
10002091;Alimentación;CL-A99900017;Seleccione de la lista;Diesel|Gas natural|Leña|Gas|AC/DC|Gas licuado|Eléctrica|Batería|Carbón|Batería recargable|Alcohol|Pila|Batería de litio|Gasolina|Parafina|Pellet|Aceite|Energía solar;false
10002087;Alimentación;CL-A99900017;Seleccione de la lista;Diesel|Gas natural|Leña|Gas|AC/DC|Gas licuado|Eléctrica|Batería|Carbón|Batería recargable|Alcohol|Pila|Batería de litio|Gasolina|Parafina|Pellet|Aceite|Energía solar;true
10002087;Tipo de encendido;CL-A99900563;Seleccione de la lista;Chispa|Electrónico|Automático|Manual|Piezoeléctrico|Ionizado;false
10002087;Plegable;CL-A99900417;¿El producto es Plegable?;Si|No;false
10003773;Apto para lavavajillas;CL-A99900483;¿El producto es Apto para lavavajillas?;Si|No;false
10002088;Conservador de temperatura;CL-A99900160;Indica si tu producto conservador de temperatura;Si|No;false
